[2025-05-08 12:13:01]  4, pdu_to_send=18, status=RT , ackedNo=4
[2025-05-08 12:13:01]  4, pdu_to_send=19, status=RT , ackedNo=4
[2025-05-08 12:13:01]  4, pdu_to_send=20, status=RT , ackedNo=4
[2025-05-08 12:13:01]  4, pdu_to_send=21, status=RT , ackedNo=4
[2025-05-08 12:13:01]  4, pdu_to_send=22, status=RT , ackedNo=4
[2025-05-08 12:13:01]  4, pdu_to_send=23, status=RT , ackedNo=4
[2025-05-08 12:13:01]  4, pdu_to_send=24, status=RT , ackedNo=4
[2025-05-08 12:13:01]  4, pdu_to_send=25, status=RT , ackedNo=4
[2025-05-08 12:13:01]  4, pdu_to_send=26, status=RT , ackedNo=4
[2025-05-08 12:13:01]  4, pdu_to_send=27, status=RT , ackedNo=4
[2025-05-08 12:13:01]  4, pdu_to_send=28, status=RT , ackedNo=4
[2025-05-08 12:13:01]  4, pdu_to_send=29, status=RT , ackedNo=4
[2025-05-08 12:13:01]  4, pdu_to_send=30, status=RT , ackedNo=4
[2025-05-08 12:13:01]  4, pdu_to_send=31, status=RT , ackedNo=4
[2025-05-08 12:13:01]  4, pdu_to_send=32, status=RT , ackedNo=4
[2025-05-08 12:13:01]  4, pdu_to_send=33, status=RT , ackedNo=4
[2025-05-08 12:13:01]  4, pdu_to_send=34, status=RT , ackedNo=4
[2025-05-08 12:13:01]  1, pdu_to_send=35, status=NEW, ackedNo=5
[2025-05-08 12:13:01]  5, pdu_to_send=6, status=TO , ackedNo=5
[2025-05-08 12:13:01]  5, pdu_to_send=7, status=RT , ackedNo=5
[2025-05-08 12:13:01]  5, pdu_to_send=8, status=RT , ackedNo=5
[2025-05-08 12:13:01]  5, pdu_to_send=9, status=RT , ackedNo=5
[2025-05-08 12:13:01]  5, pdu_to_send=10, status=RT , ackedNo=5
[2025-05-08 12:13:01]  5, pdu_to_send=11, status=RT , ackedNo=5
[2025-05-08 12:13:01]  5, pdu_to_send=12, status=RT , ackedNo=5
[2025-05-08 12:13:01]  5, pdu_to_send=13, status=RT , ackedNo=5
[2025-05-08 12:13:01]  5, pdu_to_send=14, status=RT , ackedNo=5
[2025-05-08 12:13:01]  5, pdu_to_send=15, status=RT , ackedNo=5
[2025-05-08 12:13:01]  5, pdu_to_send=16, status=RT , ackedNo=5
[2025-05-08 12:13:01]  5, pdu_to_send=17, status=RT , ackedNo=5
[2025-05-08 12:13:01]  5, pdu_to_send=18, status=RT , ackedNo=5
[2025-05-08 12:13:01]  5, pdu_to_send=19, status=RT , ackedNo=5
[2025-05-08 12:13:01]  5, pdu_to_send=20, status=RT , ackedNo=5
[2025-05-08 12:13:01]  5, pdu_to_send=21, status=RT , ackedNo=5
[2025-05-08 12:13:01]  5, pdu_to_send=22, status=RT , ackedNo=5
[2025-05-08 12:13:01]  5, pdu_to_send=23, status=RT , ackedNo=5
[2025-05-08 12:13:01]  5, pdu_to_send=24, status=RT , ackedNo=5
[2025-05-08 12:13:01]  5, pdu_to_send=25, status=RT , ackedNo=5
[2025-05-08 12:13:01]  5, pdu_to_send=26, status=RT , ackedNo=5
[2025-05-08 12:13:01]  5, pdu_to_send=27, status=RT , ackedNo=5
[2025-05-08 12:13:01]  5, pdu_to_send=28, status=RT , ackedNo=5
[2025-05-08 12:13:01]  5, pdu_to_send=29, status=RT , ackedNo=5
[2025-05-08 12:13:01]  5, pdu_to_send=30, status=RT , ackedNo=5
[2025-05-08 12:13:01]  5, pdu_to_send=31, status=RT , ackedNo=5
[2025-05-08 12:13:01]  5, pdu_to_send=32, status=RT , ackedNo=5
[2025-05-08 12:13:01]  5, pdu_to_send=33, status=RT , ackedNo=5
[2025-05-08 12:13:01]  5, pdu_to_send=34, status=RT , ackedNo=5
[2025-05-08 12:13:01]  2, pdu_to_send=35, status=RT , ackedNo=5
[2025-05-08 12:13:01]  1, pdu_to_send=36, status=NEW, ackedNo=6
[2025-05-08 12:13:01]  1, pdu_to_send=37, status=NEW, ackedNo=7
[2025-05-08 12:13:01]  1, pdu_to_send=38, status=NEW, ackedNo=8
[2025-05-08 12:13:01]  1, pdu_to_send=39, status=NEW, ackedNo=9
[2025-05-08 12:13:01]  1, pdu_to_send=40, status=NEW, ackedNo=10
[2025-05-08 12:13:01]  1, pdu_to_send=41, status=NEW, ackedNo=11
[2025-05-08 12:13:01]  1, pdu_to_send=42, status=NEW, ackedNo=12
[2025-05-08 12:13:01]  1, pdu_to_send=43, status=NEW, ackedNo=13
[2025-05-08 12:13:01]  1, pdu_to_send=44, status=NEW, ackedNo=14
[2025-05-08 12:13:01]  6, pdu_to_send=15, status=TO , ackedNo=14
[2025-05-08 12:13:01]  6, pdu_to_send=16, status=RT , ackedNo=14
[2025-05-08 12:13:01]  6, pdu_to_send=17, status=RT , ackedNo=14
[2025-05-08 12:13:01]  6, pdu_to_send=18, status=RT , ackedNo=14
[2025-05-08 12:13:01]  6, pdu_to_send=19, status=RT , ackedNo=14
[2025-05-08 12:13:01]  6, pdu_to_send=20, status=RT , ackedNo=14
[2025-05-08 12:13:01]  6, pdu_to_send=21, status=RT , ackedNo=14
[2025-05-08 12:13:01]  6, pdu_to_send=22, status=RT , ackedNo=14
[2025-05-08 12:13:01]  6, pdu_to_send=23, status=RT , ackedNo=14
[2025-05-08 12:13:01]  6, pdu_to_send=24, status=RT , ackedNo=14
[2025-05-08 12:13:01]  6, pdu_to_send=25, status=RT , ackedNo=14
[2025-05-08 12:13:01]  6, pdu_to_send=26, status=RT , ackedNo=14
[2025-05-08 12:13:01]  6, pdu_to_send=27, status=RT , ackedNo=14
[2025-05-08 12:13:01]  6, pdu_to_send=28, status=RT , ackedNo=14
[2025-05-08 12:13:01]  6, pdu_to_send=29, status=RT , ackedNo=14
[2025-05-08 12:13:01]  6, pdu_to_send=30, status=RT , ackedNo=14
[2025-05-08 12:13:01]  6, pdu_to_send=31, status=RT , ackedNo=14
[2025-05-08 12:13:01]  6, pdu_to_send=32, status=RT , ackedNo=14
[2025-05-08 12:13:01]  6, pdu_to_send=33, status=RT , ackedNo=14
[2025-05-08 12:13:01]  6, pdu_to_send=34, status=RT , ackedNo=14
[2025-05-08 12:13:01]  3, pdu_to_send=35, status=RT , ackedNo=14
[2025-05-08 12:13:01]  2, pdu_to_send=36, status=RT , ackedNo=14
[2025-05-08 12:13:01]  2, pdu_to_send=37, status=RT , ackedNo=14
[2025-05-08 12:13:01]  2, pdu_to_send=38, status=RT , ackedNo=14
[2025-05-08 12:13:01]  2, pdu_to_send=39, status=RT , ackedNo=14
[2025-05-08 12:13:01]  2, pdu_to_send=40, status=RT , ackedNo=14
[2025-05-08 12:13:01]  2, pdu_to_send=41, status=RT , ackedNo=14
[2025-05-08 12:13:01]  2, pdu_to_send=42, status=RT , ackedNo=14
[2025-05-08 12:13:01]  2, pdu_to_send=43, status=RT , ackedNo=14
[2025-05-08 12:13:01]  2, pdu_to_send=44, status=RT , ackedNo=14
[2025-05-08 12:13:02]  7, pdu_to_send=15, status=TO , ackedNo=14
[2025-05-08 12:13:02]  7, pdu_to_send=16, status=RT , ackedNo=14
[2025-05-08 12:13:02]  7, pdu_to_send=17, status=RT , ackedNo=14
